,Compound Score,Date,Negative Sentiment,Neutral Sentiment,Order Position,Positive Sentiment,Source,Tweet
68,0.0,Fri Mar 09 16:09:23 +0000 2018,0.0,1.0,68,0.0,BBC News (World),Catalonia Spain: Judge refuses to release Jordi Sanchez for investiture https://t.co/OZSrYWx4Ss
69,0.0,Fri Mar 09 15:54:43 +0000 2018,0.0,1.0,69,0.0,BBC News (World),Big cat gets CAT scan https://t.co/tl0hN1flxT
70,0.0,Fri Mar 09 15:43:09 +0000 2018,0.0,1.0,70,0.0,BBC News (World),"@jvn ""Yaass Queen!"" 🙌"
71,0.0,Fri Mar 09 14:49:43 +0000 2018,0.0,1.0,71,0.0,BBC News (World),RT @BBC_HaveYourSay: “Orange is the new Barack” and “Barack Mirror” - just two of the ideas you’ve had as the Obamas hold talks with Netfli…
72,0.0,Fri Mar 09 14:39:37 +0000 2018,0.0,1.0,72,0.0,BBC News (World),"Pitches, puns and parodies for Obamas for Netflix show https://t.co/mkqulg4hr8"
73,0.0,Fri Mar 09 14:19:21 +0000 2018,0.0,1.0,73,0.0,BBC News (World),Burger-flipping robot takes short break https://t.co/gRqObWoVS4
74,0.0531,Fri Mar 09 14:19:21 +0000 2018,0.132,0.723,74,0.145,BBC News (World),"Trump told to mute Twitter critics, not block them, by New York judge https://t.co/4pBk7Kk5tB"
75,-0.7096,Fri Mar 09 12:33:47 +0000 2018,0.457,0.543,75,0.0,BBC News (World),India cricketer Mohammad Shami charged with domestic violence https://t.co/Z3Eq9jYxLF
76,0.2263,Fri Mar 09 12:19:53 +0000 2018,0.0,0.84,76,0.16,BBC News (World),Trump Kim talks: US surprised at 'dramatic' North Korea shift https://t.co/Uzb5V27rtv
77,0.0,Fri Mar 09 11:48:39 +0000 2018,0.0,1.0,77,0.0,BBC News (World),Winter Paralympics opening ceremony begins in Pyeongchang https://t.co/VP4W2q1Hhe
78,0.0,Fri Mar 09 11:40:26 +0000 2018,0.0,1.0,78,0.0,BBC News (World),Kenya's Uhuru Kenyatta and Raila Odinga pledge reconciliation https://t.co/FmOnv65k9x
79,0.0516,Fri Mar 09 11:07:50 +0000 2018,0.0,0.882,79,0.118,BBC News (World),Turkey sentences 25 journalists to jail for 'coup links' https://t.co/kibUX87AVp
80,-0.5719,Fri Mar 09 11:03:38 +0000 2018,0.439,0.561,80,0.0,BBC News (World),Why Quebec doctors have rejected a pay rise https://t.co/YbLk3CbhXb
81,-0.296,Fri Mar 09 10:33:53 +0000 2018,0.216,0.784,81,0.0,BBC News (World),Norwegian airline responds to poem complaint in verse https://t.co/2TNH05FqD3
82,0.0,Fri Mar 09 10:25:21 +0000 2018,0.0,1.0,82,0.0,BBC News (World),Obamas 'in talks to make Netflix shows' https://t.co/KYEZSuTueG
83,-0.6486,Fri Mar 09 09:30:24 +0000 2018,0.301,0.699,83,0.0,BBC News (World),Jo Min-ki: South Korean actor found dead after #MeToo allegations https://t.co/AFtYavG3IV
84,-0.5994,Fri Mar 09 09:26:26 +0000 2018,0.281,0.719,84,0.0,BBC News (World),Syria war: UN aid convoy re-enters Eastern Ghouta amid 'calm' https://t.co/NDAoZ9yydb
85,-0.4215,Fri Mar 09 09:18:58 +0000 2018,0.286,0.714,85,0.0,BBC News (World),India allows 'living wills' for terminally ill https://t.co/YKgWtlKvqZ
86,0.4019,Fri Mar 09 09:18:55 +0000 2018,0.0,0.803,86,0.197,BBC News (World),Russian spy: Foreign minister says Russia willing to help in inquiry https://t.co/DGsNyBTzo6
87,0.0,Fri Mar 09 09:01:49 +0000 2018,0.0,1.0,87,0.0,BBC News (World),Tourist captures Sydney couple's marriage proposal https://t.co/4xP2j147u4
88,-0.8074,Fri Mar 09 08:09:49 +0000 2018,0.316,0.684,88,0.0,BBC News (World),RT @BBCNewsAsia: Authorities are struggling to contain a fire which has broken out in a chemical factory in the western state of Maharashtr…
89,0.2023,Fri Mar 09 07:54:57 +0000 2018,0.0,0.795,89,0.205,BBC News (World),Sikh separatist Atwal apologises over Trudeau event https://t.co/hHYBe50e8F
90,-0.7717,Fri Mar 09 07:54:54 +0000 2018,0.528,0.472,90,0.0,BBC News (World),Three dead in India chemical factory fire https://t.co/YKuyaIRLst
91,0.0,Fri Mar 09 07:25:19 +0000 2018,0.0,1.0,91,0.0,BBC News (World),Natthanan: the 10-year-old make-up artist https://t.co/CmJHcd8wTu
92,0.2415,Fri Mar 09 07:19:21 +0000 2018,0.088,0.781,92,0.13,BBC News (World),"RT @BBCSport: Billie Jean King has said men should not play five-set matches at  Grand Slams.

Full story👇
https://t.co/4jeP2GsT6f https://…"
93,0.2732,Fri Mar 09 06:15:00 +0000 2018,0.0,0.913,93,0.087,BBC News (World),"In case you're just waking up: 

Obama is going to Netflix and Trump is going to North Korea. 

He has accepted an… https://t.co/siyJ0PXbck"
94,-0.128,Fri Mar 09 05:13:29 +0000 2018,0.2,0.8,94,0.0,BBC News (World),Spain strike: 'Young women are incredible' https://t.co/xBkYHY3Hym
95,-0.5994,Fri Mar 09 05:13:25 +0000 2018,0.394,0.606,95,0.0,BBC News (World),Syria after seven years of war https://t.co/2sRQbl7Hvy
96,0.0,Fri Mar 09 05:13:25 +0000 2018,0.0,1.0,96,0.0,BBC News (World),Five ways to break up with plastic https://t.co/IrQl4QkqUy
97,-0.2023,Fri Mar 09 05:01:23 +0000 2018,0.184,0.816,97,0.0,BBC News (World),@BBCBreaking Strange optics of the North Korean announcement https://t.co/psHkHbM4Ss
98,0.0,Fri Mar 09 04:25:13 +0000 2018,0.0,1.0,98,0.0,BBC News (World),@BBCBreaking Trump and North Korea talks: The political gamble of the 21st Century https://t.co/EcTwhqemyn
99,0.0,Fri Mar 09 04:23:37 +0000 2018,0.0,1.0,99,0.0,BBC News (World),Trump tariffs: US chided over duties on steel and aluminium imports https://t.co/DQ5y2ENByB
100,0.0,Sun Mar 11 22:15:07 +0000 2018,0.0,1.0,0,0.0,CNN,President Trump says the person he most wants to run against in 2020 is Oprah https://t.co/TThb2WDIm0 https://t.co/4yUB269pjG
101,0.2732,Sun Mar 11 22:00:37 +0000 2018,0.0,0.896,1,0.104,CNN,You know their name. But how well do you know your Kennedy trivia? #TheKennedys premieres tonight at 9p. https://t.co/3YRwzmSy7U
102,-0.6486,Sun Mar 11 21:45:06 +0000 2018,0.249,0.751,2,0.0,CNN,"In California, a 15-hour standoff that left 1 officer dead started with a car chase https://t.co/zrHSHjn8K2 https://t.co/ajJH4ADUMC"
103,0.0,Sun Mar 11 21:30:39 +0000 2018,0.0,1.0,3,0.0,CNN,"""Do not spend all your time talking about your opponents."" Oprah has some advice for anyone who runs for president… https://t.co/YCsne8112s"
104,-0.25,Sun Mar 11 21:15:05 +0000 2018,0.2,0.8,4,0.0,CNN,Socialism with Chinese characteristics? Beijing's propaganda explained https://t.co/Cx54QwIl0B https://t.co/E5YlfDmL6a
105,0.0,Sun Mar 11 21:00:13 +0000 2018,0.0,1.0,5,0.0,CNN,Hong Kong elects new lawmakers as city faces decades of Xi Jinping rule https://t.co/3emq2iUe2y https://t.co/jYEBTnCOdj
106,-0.5106,Sun Mar 11 20:45:06 +0000 2018,0.381,0.619,6,0.0,CNN,President Trump blames diplomatic shortages on Democrats https://t.co/ejID8n95K5 https://t.co/IgpNWHjcSO
107,0.3612,Sun Mar 11 20:30:07 +0000 2018,0.0,0.898,7,0.102,CNN,"""I wake up in the morning, and the first thing I say is 'thank you,'"" Oprah Winfrey tells CNN's Van Jones. Watch he… https://t.co/nRcua0cyiR"
108,-0.6705,Sun Mar 11 20:15:09 +0000 2018,0.314,0.686,8,0.0,CNN,"Sen. Mark Warner says the US is ""woefully unprepared"" for cyber threats https://t.co/KjebUo8zDU https://t.co/kD0Zb0Xy0q"
109,0.4939,Sun Mar 11 20:00:08 +0000 2018,0.0,0.849,9,0.151,CNN,The section of a Baltimore park that once hosted Confederate monuments has been renamed in honor of abolitionist Ha… https://t.co/Fkaa1bx6qm
